Year,Month,Category,Region,Units_Sold,Revenue,Profit,Customer_Rating,Ad_Spend
2022,February,Electronics,West,414,43669.63,10642.53,2.5,1820.03
2024,April,Groceries,South,118,1745.05,501.08,1.1,4307.14
2023,May,Books,South,165,8454.1,1063.72,1.7,3481.41
2022,May,Home Decor,West,283,45590.05,11133.52,2.5,4748.34
2020,May,Beauty Products,West,74,12742.1,1693.6,3.5,3651.92
2023,October,Books,South,421,15004.2,1526.95,2.3,2067.17
2020,July,Books,South,396,8209.28,1885.27,1.5,4442.9
2020,June,Books,East,362,6215.24,934.69,3.7,4781.89
2023,December,Groceries,South,259,50664.3,5372.72,3.6,3165.37
2022,October,Beauty Products,East,143,16135.12,3384.27,2.9,2527.88
2023,August,Home Decor,North,405,49936.89,14839.11,5.0,1399.76
2024,February,Beauty Products,West,279,48068.4,10918.53,4.7,746.67
2020,August,Home Decor,East,189,3852.16,1153.67,3.0,2571.28
2020,April,Fashion,West,31,2914.84,690.76,3.2,1657.21
2023,January,Fashion,North,304,5787.94,584.87,1.9,3706.7
2024,August,Groceries,North,321,36545.15,4384.0,3.7,3886.92
2021,April,Beauty Products,South,255,21022.47,3076.34,4.0,1335.65
2024,June,Beauty Products,North,298,26404.43,7656.52,1.6,1228.37
2023,June,Books,North,122,11240.79,3250.72,3.2,1713.08
2020,February,Home Decor,North,405,14349.38,4025.07,4.8,2386.02
2023,August,Fashion,South,397,40691.84,10320.25,4.2,4962.0
2022,October,Groceries,West,462,81627.53,11835.38,2.7,3275.56
2022,December,Fashion,South,315,10497.75,2102.42,2.9,1629.43
2021,November,Groceries,South,21,3528.46,906.84,3.2,3298.32
2023,April,Beauty Products,South,51,2451.12,461.66,1.5,4565.34
2024,November,Fashion,North,265,18820.91,2720.98,1.7,3054.29
2024,November,Beauty Products,South,231,32945.77,6352.1,4.2,781.27
2024,July,Beauty Products,East,248,37602.5,6115.26,4.2,1163.19
2020,May,Home Decor,South,83,854.98,198.46,1.7,4833.42
2021,January,Groceries,South,245,6293.52,1102.89,3.1,1591.39
2021,January,Electronics,West,138,23239.39,3642.42,4.8,2488.49
2020,May,Groceries,South,473,65076.8,11561.38,1.8,3233.73
2024,October,Books,East,158,11420.89,2537.14,3.8,3845.88
2020,July,Groceries,West,413,14029.37,2939.92,3.4,499.51
2020,February,Electronics,East,380,44422.58,7868.14,1.8,2693.3
2022,January,Fashion,South,278,34619.07,9435.57,2.4,3777.46
2020,October,Books,West,490,19828.0,4405.5,3.5,4337.39
2024,December,Home Decor,South,414,25215.07,2611.03,4.9,2763.49
2023,March,Beauty Products,South,421,82039.39,24417.67,4.4,2176.89
2021,November,Electronics,West,464,84429.15,18727.85,1.3,1529.97
2023,June,Groceries,West,314,54938.78,16368.36,5.0,2064.17
2024,March,Fashion,West,114,19720.84,5700.75,4.2,1041.68
2023,July,Home Decor,East,258,13146.68,3391.75,1.2,778.92
2021,August,Beauty Products,South,374,37676.53,9829.44,4.2,1159.79
2022,March,Home Decor,North,51,2595.4,606.63,4.5,2834.09
2024,September,Home Decor,North,167,27997.27,5460.08,1.0,2441.15
2022,December,Electronics,North,133,10557.19,2689.03,2.4,3229.38
2023,February,Books,North,122,9396.1,1658.88,3.8,2787.23
2022,September,Books,West,473,74224.57,16692.45,3.7,3278.21
2020,December,Fashion,West,332,44296.7,12934.97,4.7,4422.17
2024,May,Home Decor,South,287,9377.13,1958.42,1.4,3843.13
2021,October,Fashion,North,184,31343.68,7961.39,3.1,3691.34
2020,January,Fashion,West,361,29919.66,3814.91,3.1,109.77
2021,January,Books,South,114,22316.68,4067.53,1.3,1292.84
2021,December,Books,South,346,20676.75,3895.74,3.8,3904.38
2021,May,Fashion,South,173,11360.73,3176.79,1.9,778.28
2022,January,Beauty Products,East,20,2643.26,274.77,2.2,1091.3
2023,May,Beauty Products,North,113,2446.3,329.88,4.5,4848.87
2020,June,Books,West,480,36762.29,8377.84,1.9,4677.81
2024,August,Books,South,75,3512.1,796.24,4.0,194.32
2022,November,Electronics,South,500,89332.68,18897.51,2.5,4444.79
2022,January,Fashion,East,237,44517.46,6894.05,4.6,577.21
2023,December,Electronics,East,410,53242.47,7170.79,1.3,2102.43
2020,August,Groceries,West,325,35704.8,10539.89,1.1,691.61
2023,October,Fashion,North,214,4311.33,1055.13,2.9,709.42
2024,November,Books,West,255,44055.87,8792.71,3.3,3780.91
2020,September,Home Decor,East,169,33006.0,7902.42,2.9,1020.17
2023,May,Books,East,102,5332.2,619.75,4.8,3014.68
2023,June,Fashion,North,451,17447.53,5142.81,3.3,3950.4
2023,January,Electronics,South,251,4963.63,1304.86,3.0,4581.32
2022,July,Home Decor,North,307,52303.78,15054.26,4.0,3291.99
2021,December,Beauty Products,North,463,25706.33,3014.58,2.0,4670.78
2021,October,Electronics,West,348,65915.18,18923.91,4.2,1816.33
2021,July,Fashion,East,488,21750.38,4932.91,3.3,3202.98
2021,February,Fashion,East,167,2311.3,388.79,4.3,4181.54
2022,February,Groceries,North,203,16775.31,4367.64,1.1,1262.81
2022,October,Fashion,East,117,2134.79,540.23,2.8,1597.4
2022,February,Electronics,East,418,7987.81,2119.95,4.5,4924.35
2020,March,Fashion,West,304,19273.66,5703.56,3.1,905.14
2022,December,Home Decor,North,430,21959.75,4944.86,4.0,2574.28
2021,December,Fashion,North,366,25479.55,3011.82,1.4,2632.04
2023,March,Books,South,262,44301.13,5227.03,3.8,1657.79
2022,February,Books,West,113,2983.23,712.92,4.8,3456.65
2023,December,Beauty Products,West,438,21905.68,3190.18,4.8,209.17
2024,September,Books,South,444,28394.21,4828.43,4.9,4242.64
2020,September,Home Decor,South,390,25445.3,4843.45,2.2,3907.03
2023,October,Fashion,East,202,21329.33,3089.64,3.8,4733.43
2023,October,Home Decor,West,360,37178.19,10667.69,3.1,2687.15
2021,August,Electronics,West,362,32858.38,6872.42,4.8,2545.06
2021,June,Electronics,East,189,5304.37,1294.08,2.5,3721.49
2024,November,Books,East,222,23679.42,6164.07,4.5,1100.31
2023,October,Fashion,East,184,19112.7,2968.29,4.4,4474.94
2021,August,Electronics,West,128,6833.33,711.73,3.9,3246.39
2020,October,Books,East,273,49439.23,7642.91,1.1,4114.54
2020,October,Electronics,West,25,1945.22,255.09,4.0,3724.71
2024,April,Books,North,437,52817.98,6525.69,5.0,1023.87
2024,June,Beauty Products,West,312,26921.52,5146.11,4.8,827.82
2024,December,Home Decor,West,427,14458.98,2634.62,5.0,955.68
2024,March,Fashion,South,395,70597.5,17380.29,3.0,4468.45
2023,May,Electronics,South,419,37197.13,5700.74,2.7,3559.13
2022,July,Beauty Products,North,431,78510.09,8257.7,2.0,1527.9
2020,July,Beauty Products,North,414,41769.15,5232.91,3.7,787.35
2020,May,Electronics,North,327,9985.95,2510.3,3.2,1534.12
2020,March,Books,West,21,2275.69,348.81,2.0,4691.55
2021,August,Electronics,West,95,7766.03,1282.22,1.8,2428.75
2020,September,Groceries,North,242,38926.25,10713.2,3.6,2777.24
2022,March,Fashion,East,25,933.0,251.73,4.1,3484.37
2020,August,Books,East,231,37405.98,3855.14,4.4,1387.21
2020,January,Home Decor,East,301,29655.09,8341.07,3.7,173.97
2024,May,Beauty Products,East,306,54894.11,8364.91,3.3,2581.51
2020,June,Books,South,340,29961.6,7324.05,3.4,4580.69
2022,November,Home Decor,North,406,12147.74,3287.65,1.9,3846.78
2022,October,Beauty Products,East,355,25804.81,4028.47,2.5,2905.9
2023,February,Beauty Products,North,410,71893.66,8339.7,1.1,3829.57
2024,August,Beauty Products,East,155,23581.28,5678.5,3.5,3149.89
2022,February,Beauty Products,East,457,64973.73,9919.91,1.0,1662.99
2022,February,Fashion,West,178,17888.56,3826.26,1.7,1921.58
2024,September,Beauty Products,West,129,8789.14,2024.68,2.4,508.28
2022,January,Home Decor,South,234,46710.36,6425.61,4.5,2573.63
2022,December,Home Decor,East,272,7615.51,2207.88,2.7,3178.15
2023,June,Beauty Products,North,489,86014.73,16815.52,4.3,1047.71
2024,October,Beauty Products,North,31,3141.03,924.0,3.8,370.78
2022,July,Groceries,North,214,33906.5,6253.46,1.5,4782.76
2023,January,Groceries,West,268,19385.48,4265.51,4.3,3826.37
2023,March,Beauty Products,East,306,58456.05,6664.7,2.0,1841.29
2022,January,Books,South,329,3434.77,492.22,3.0,2166.16
2021,December,Groceries,North,395,24704.7,6324.87,4.9,1417.26
2020,January,Groceries,South,107,3058.58,519.64,4.8,2749.84
2020,May,Electronics,North,222,3860.75,416.61,4.0,4291.33
2023,September,Books,West,374,64907.32,17567.4,1.7,3654.43
2020,June,Electronics,North,199,13198.06,3600.34,4.8,4662.98
2021,May,Electronics,North,480,26144.29,6747.7,2.3,1821.29
2020,February,Beauty Products,North,119,16501.11,3231.92,1.2,4869.35
2024,May,Fashion,East,387,34229.14,6034.1,1.0,1517.75
2022,May,Electronics,South,412,78002.3,16608.92,4.5,3892.25
2021,July,Groceries,North,127,4790.3,1414.03,2.9,4143.31
2022,November,Beauty Products,South,219,22942.27,4269.15,3.7,1286.76
2021,June,Electronics,South,105,12090.46,3252.92,4.9,4067.43
2021,May,Fashion,South,368,34167.55,7351.49,2.2,437.95
2023,January,Beauty Products,East,390,30713.03,5994.18,3.7,3146.52
2021,December,Groceries,South,180,2516.96,554.15,1.6,2319.61
2021,October,Home Decor,South,86,2898.24,494.41,3.9,2977.53
2024,December,Beauty Products,West,495,37800.48,6286.45,2.7,3873.73
2024,September,Electronics,East,291,48549.42,10294.12,3.5,2935.05
2021,November,Home Decor,East,96,5139.83,1153.33,1.0,4628.17
2021,January,Home Decor,East,293,14133.52,4016.14,4.0,1071.21
2021,February,Electronics,North,248,15551.01,2073.49,5.0,141.23
2023,January,Books,South,315,7911.59,969.8,2.6,1146.51
2021,February,Groceries,North,492,42555.97,10380.68,2.3,3173.16
2023,October,Beauty Products,West,296,27362.12,6306.95,4.9,2099.66
2022,November,Fashion,West,353,32060.68,7917.33,3.8,1349.23
2022,June,Home Decor,East,193,23024.83,2640.67,1.4,4543.83
2023,June,Books,East,56,8760.19,1202.31,3.1,3111.17
2020,October,Fashion,East,121,17764.45,5051.5,1.8,2727.32
2020,May,Books,South,395,21198.25,4097.84,2.9,2522.05
2021,May,Books,North,476,37351.7,9768.68,2.3,3225.18
2024,September,Home Decor,West,275,5659.33,1497.88,3.5,1747.04
2023,January,Home Decor,East,238,25748.8,6872.49,2.4,2999.72
2020,July,Electronics,North,89,6086.62,1360.61,1.1,1461.96
2020,October,Books,East,207,8748.15,2239.34,1.2,4906.31
2020,June,Books,North,349,12673.57,2004.26,4.5,1676.42
2022,May,Electronics,East,356,32910.16,4450.76,1.7,798.25
2023,January,Beauty Products,East,491,39011.1,5313.82,2.8,1327.13
2024,January,Electronics,East,365,63595.05,18050.89,2.6,2763.69
2022,April,Groceries,South,94,14801.45,3375.07,4.5,3583.41
2022,February,Electronics,North,25,2970.62,534.34,1.8,3499.88
2022,October,Home Decor,East,245,10233.72,2996.33,4.0,1368.29
2024,February,Fashion,South,232,33490.4,5920.4,3.4,3085.79
2020,June,Books,West,79,1787.93,326.6,3.9,4481.9
2021,February,Beauty Products,East,140,21201.23,3061.95,1.6,2352.95
2023,April,Books,North,167,14895.52,3001.56,4.4,2892.83
2020,July,Beauty Products,East,350,9235.13,2522.93,4.1,1468.95
2021,December,Home Decor,North,94,18254.78,4490.09,4.0,797.18
2024,January,Beauty Products,West,465,55297.96,15440.84,3.6,3381.77
2021,June,Beauty Products,West,177,13382.93,2921.26,5.0,3485.23
2020,March,Groceries,East,311,15075.75,1744.63,2.8,1177.68
2020,November,Electronics,West,111,5467.11,994.32,1.5,1686.54
2020,July,Electronics,North,286,33330.14,4046.05,3.0,1862.64
2023,July,Groceries,South,370,19596.98,3683.75,2.1,880.06
2020,February,Beauty Products,South,74,12119.3,2196.32,3.8,1047.26
2022,May,Electronics,West,289,34156.36,8903.58,4.7,369.12
2022,March,Electronics,South,322,8181.32,2010.57,1.5,1637.23
2023,June,Groceries,East,292,13557.76,2382.17,1.5,3482.23
2024,March,Beauty Products,East,183,4543.44,1062.85,2.1,1297.71
2024,August,Home Decor,North,483,20839.53,3690.84,1.3,1183.86
2022,April,Home Decor,South,313,42430.45,7254.29,3.7,4986.12
2024,March,Beauty Products,South,496,80914.5,17192.41,1.9,2134.26
2021,November,Home Decor,East,249,8773.1,2479.26,4.4,3563.94
2024,March,Home Decor,East,447,58060.52,8554.9,2.6,2205.63
2020,September,Home Decor,South,215,22083.5,3693.03,3.2,2723.22
2023,April,Electronics,North,267,8789.5,2014.58,1.4,122.16
2021,December,Books,West,315,8721.86,897.66,1.8,4434.2
2022,January,Electronics,South,495,37159.56,3867.02,2.2,2204.43
2023,April,Groceries,East,249,38364.43,6255.69,1.8,4775.26
2024,December,Beauty Products,South,298,19371.61,4780.94,1.4,908.76
2021,March,Electronics,North,287,41224.3,6748.27,3.0,4420.65
2024,January,Electronics,West,261,40254.98,9717.07,2.7,995.87
2024,July,Beauty Products,South,370,33310.85,7672.16,3.3,558.46
2020,November,Groceries,East,128,18290.58,3081.96,4.2,3641.48
2021,July,Home Decor,South,494,50117.19,11744.58,3.2,4505.12
2024,April,Fashion,North,341,59087.43,16956.2,2.9,1811.03
2022,November,Electronics,East,278,16344.12,4371.55,3.0,3769.88
2021,October,Books,East,31,1601.94,207.52,2.4,4311.39
2022,December,Beauty Products,East,258,15735.5,1799.61,2.9,1608.81
2021,March,Groceries,North,313,50907.49,7407.87,2.9,4405.94
2024,October,Home Decor,East,431,46604.71,11345.24,1.2,2198.77
2023,March,Groceries,North,411,10133.71,1887.54,4.2,505.95
2022,April,Beauty Products,East,490,58241.49,14127.38,3.6,4617.42
2024,March,Fashion,North,333,27829.77,7319.1,2.9,3333.28
2023,June,Groceries,North,310,4899.14,1078.96,2.8,1721.55
2022,November,Books,East,136,7479.35,1966.21,3.4,2759.06
2021,August,Groceries,North,53,7839.58,1435.99,2.8,4282.28
2023,July,Fashion,East,184,6830.32,936.95,3.0,1808.02
2020,March,Electronics,North,460,85785.88,15775.93,3.4,3673.24
2022,February,Groceries,South,125,17018.65,4133.45,3.3,162.98
2021,June,Beauty Products,East,491,76062.28,7883.42,2.0,1530.72
2021,April,Books,North,461,57179.45,11124.09,1.5,862.63
2021,October,Groceries,South,376,6064.52,1806.24,1.8,1835.94
2021,October,Home Decor,East,473,42511.07,9221.43,1.9,4431.39
2022,May,Home Decor,North,421,77529.47,13579.42,4.5,909.54
2021,March,Groceries,East,334,64049.34,17703.98,1.3,2720.33
2022,December,Home Decor,North,185,9672.79,1843.87,1.6,2116.66
2023,March,Groceries,West,474,6198.74,1483.6,1.9,1781.35
2022,February,Electronics,South,309,61677.0,18207.47,4.7,4692.01
2022,August,Groceries,South,363,58875.6,9922.88,4.7,2218.95
2024,December,Electronics,South,255,28441.25,3212.17,1.1,4977.04
2023,July,Fashion,North,239,20314.77,2700.94,4.5,3367.16
2023,July,Books,North,287,28801.89,7396.51,2.6,3219.1
2022,October,Home Decor,West,491,75769.41,15707.33,5.0,892.4
2021,June,Groceries,East,116,7947.81,1684.58,3.2,4291.21
2024,June,Books,South,95,10451.63,2582.49,1.9,2642.15
2020,October,Home Decor,East,377,27268.75,2972.57,4.4,1381.79
2023,August,Beauty Products,East,96,7169.38,1077.65,3.0,3437.09
2022,August,Home Decor,East,464,84601.34,10343.47,4.3,921.41
2021,July,Electronics,West,166,16248.24,2798.94,3.0,3008.02
2021,March,Beauty Products,South,382,46715.43,12158.64,3.0,2802.13
2020,March,Fashion,South,94,17489.75,2108.63,3.9,3908.09
2021,March,Fashion,East,127,4574.86,879.49,1.2,923.32
2020,May,Fashion,East,67,3255.03,899.4,1.6,3416.98
2023,October,Electronics,South,408,48654.18,13247.05,2.2,2786.95
2022,July,Books,West,442,55922.74,8973.6,1.6,4625.6
2024,January,Home Decor,South,166,28597.85,6147.26,3.4,3705.3
2022,February,Groceries,West,431,35405.6,9967.06,4.1,2003.87
2024,January,Fashion,North,439,33156.36,5139.18,2.7,2709.44
2020,February,Home Decor,North,145,7289.84,1497.54,2.7,1202.25
2022,December,Home Decor,South,262,34387.11,6799.45,2.4,4865.27
2023,August,Home Decor,South,393,7129.88,1250.63,4.9,4903.8
2024,October,Beauty Products,East,347,54346.04,15833.43,4.9,4158.42
2021,January,Home Decor,West,346,61496.63,16532.83,1.3,1440.35
2023,July,Books,North,341,45700.54,6384.21,3.5,4032.97
2023,January,Electronics,South,410,32971.59,8031.37,2.4,3256.08
2023,May,Groceries,South,451,46428.31,11223.41,1.8,2216.92
2020,September,Fashion,North,258,40954.84,4936.41,3.7,4086.49
2024,January,Home Decor,West,174,31857.15,8644.47,2.9,4125.31
2021,January,Home Decor,East,411,76154.29,9481.56,4.0,1154.07
2024,December,Fashion,East,257,19338.73,3505.99,4.8,2344.85
2021,October,Fashion,South,30,5020.55,1038.1,4.4,323.59
2022,November,Fashion,North,351,6929.13,987.63,4.6,4200.88
2022,January,Groceries,East,156,2374.64,302.69,3.0,4221.34
2021,August,Home Decor,North,404,6454.98,1726.14,2.6,4035.21
2020,November,Electronics,East,166,31479.48,8344.08,3.2,2285.96
2022,November,Books,East,314,6009.23,1116.01,2.2,2085.31
2021,October,Fashion,South,291,46907.26,10608.9,1.0,4936.03
2023,April,Fashion,West,154,29180.46,8014.96,3.4,1233.36
2023,September,Electronics,North,340,67807.95,7429.01,2.4,4640.67
2021,July,Beauty Products,South,86,6139.38,864.26,4.5,830.2
2022,November,Beauty Products,West,395,56527.6,10401.51,5.0,3774.62
2023,February,Fashion,North,470,46191.6,8501.81,2.5,4577.54
2023,July,Books,North,230,42530.26,10078.69,3.9,4118.53
2020,November,Fashion,South,123,22903.25,5612.31,4.0,2599.0
2020,February,Home Decor,North,430,18582.49,3244.51,3.3,2889.91
2023,February,Groceries,West,385,67505.47,16019.63,2.4,2194.97
2021,January,Groceries,South,310,49009.75,8377.82,1.3,2963.38
2020,April,Groceries,North,473,15540.9,1717.17,3.4,2920.95
2022,May,Home Decor,North,476,39472.53,11055.96,3.5,2986.6
2022,November,Beauty Products,North,157,30833.8,5850.46,2.1,2684.33
2024,December,Groceries,East,473,31539.82,9055.59,1.5,683.02
2024,February,Beauty Products,North,52,10272.62,1713.35,2.5,2190.21
2022,January,Electronics,West,77,2323.33,242.55,2.1,1296.06
2023,August,Books,South,483,49188.93,11848.91,3.3,2783.34
2020,June,Beauty Products,North,267,45090.29,11196.99,3.6,2725.99
2020,February,Home Decor,East,96,10444.24,1410.09,2.2,614.54
2024,April,Electronics,North,487,96923.93,9886.31,4.8,1971.44
2022,October,Fashion,West,358,7575.83,1616.09,1.9,2541.28
2022,August,Beauty Products,East,365,29331.79,4883.16,3.7,3607.06
2020,October,Books,West,425,10315.46,2079.45,4.9,2888.36
2022,December,Electronics,South,187,30831.65,5328.67,1.9,4594.86
2021,February,Books,South,238,6989.37,1258.57,3.0,1015.04
2022,February,Fashion,North,59,5504.2,873.91,4.4,963.1
2021,November,Books,North,445,31505.39,4462.03,3.7,3093.02
2023,May,Electronics,South,248,36330.08,9659.53,1.9,3556.22
2021,April,Electronics,West,42,784.34,225.44,3.5,933.78
2021,August,Electronics,North,218,30640.73,6696.27,3.1,129.85
2023,March,Home Decor,South,284,50475.26,13388.38,3.3,1327.39
2023,November,Beauty Products,East,329,4720.77,899.25,1.9,4558.26
2022,May,Beauty Products,South,31,1401.07,320.63,1.0,1947.26
2024,August,Fashion,West,49,5841.46,1611.52,4.8,4150.78
2024,January,Home Decor,East,143,15942.2,2308.78,1.4,821.38
2024,March,Books,East,24,867.51,137.0,1.4,4667.43
2024,January,Books,East,30,1503.62,283.99,2.7,1811.58
2022,June,Books,West,158,22178.11,4168.86,1.4,4344.2
2021,February,Groceries,South,202,33307.1,8848.59,4.3,722.85
2020,March,Electronics,West,304,47264.3,6200.6,4.0,3692.51
2022,June,Groceries,North,105,17655.11,2887.26,1.0,3410.38
2024,May,Beauty Products,South,382,24527.86,4407.97,4.2,608.36
2024,March,Beauty Products,East,272,39521.28,4231.27,3.1,4370.59
2020,September,Books,West,126,7898.55,1276.69,4.7,2807.8
2021,May,Groceries,North,130,4788.62,877.79,4.1,3604.52
2022,June,Groceries,West,402,21652.4,4620.27,3.3,2079.77
2021,November,Groceries,North,468,54968.94,15692.67,3.8,4997.66
2022,February,Beauty Products,South,438,63491.39,14415.42,4.8,1306.39
2022,March,Fashion,South,49,3046.82,696.84,2.2,3510.32
2023,December,Home Decor,North,191,4932.33,1164.13,3.9,1865.42
2022,January,Groceries,South,232,6895.34,972.17,4.1,1109.88
2021,February,Electronics,North,279,15232.73,1858.64,2.8,618.61
2020,December,Electronics,South,366,61805.38,10578.41,4.0,2908.9
2022,November,Books,North,300,39622.49,7207.59,4.9,1555.51
2022,March,Home Decor,West,33,5065.44,703.75,2.2,4309.57
2024,June,Electronics,East,452,61292.34,11340.08,3.8,3323.1
2020,September,Beauty Products,East,206,3998.13,859.09,2.9,1789.95
2020,October,Electronics,West,290,4132.72,770.06,2.8,4414.65
2023,December,Fashion,North,25,4209.85,917.74,3.2,424.42
2022,March,Beauty Products,East,162,30109.93,5025.47,2.0,4532.96
2023,November,Home Decor,North,46,8158.18,1253.92,3.9,3355.16
2021,June,Books,South,209,29899.65,5960.09,2.4,2835.51
2022,January,Books,West,106,11149.71,1167.52,3.3,3153.93
2022,March,Fashion,East,138,14532.36,1460.43,2.2,4253.85
2024,February,Home Decor,West,169,12978.96,2616.61,2.8,4970.52
2023,November,Fashion,East,320,47241.77,11337.87,4.9,4129.32
2021,May,Groceries,South,398,66605.76,10303.88,2.6,1780.99
2022,January,Groceries,East,317,25441.45,4314.01,3.3,4012.32
2021,March,Fashion,North,499,92812.3,19471.75,3.1,4595.53
2020,March,Books,West,223,4105.51,912.58,1.8,3940.05
2023,June,Beauty Products,West,248,36272.56,6513.93,1.8,3780.33
2023,March,Home Decor,East,364,54965.17,5920.0,2.4,1968.01
2022,January,Groceries,South,479,64664.48,14559.02,4.6,4560.0
2023,September,Fashion,West,255,35465.5,8713.42,3.1,3993.74
2022,June,Fashion,South,401,72782.52,10876.18,2.3,4454.0
2023,April,Groceries,South,23,2314.65,623.3,2.0,565.91
2024,October,Electronics,South,20,2451.8,411.82,3.7,1969.64
2022,February,Books,South,205,32223.32,6321.36,2.4,1787.28
2022,December,Beauty Products,West,211,18799.81,5492.26,4.9,108.33
2021,March,Beauty Products,North,403,26474.67,4651.79,2.8,3696.28
2021,November,Groceries,East,229,21451.1,3841.53,1.5,3965.73
2021,February,Fashion,North,215,12856.9,2731.21,1.4,3088.95
2022,April,Groceries,North,452,54144.79,16093.77,4.6,1930.6
2023,November,Electronics,West,47,4220.16,949.56,4.4,1140.37
2023,October,Books,North,491,22657.6,2374.92,3.7,1627.26
2021,January,Books,North,184,35211.81,8490.24,4.8,3104.81
2024,July,Fashion,East,467,60934.47,18082.84,2.4,385.87
2023,October,Home Decor,South,479,17088.17,2503.81,1.8,127.67
2024,July,Home Decor,North,313,56742.16,15979.17,3.2,3568.74
2020,February,Books,East,97,11757.49,2377.24,3.7,2448.01
2022,December,Groceries,North,330,32182.86,3457.83,1.9,594.91
2022,June,Home Decor,West,490,35054.23,4381.77,1.5,2249.91
2021,January,Groceries,North,249,43115.71,12225.34,4.9,4553.15
2020,September,Home Decor,East,414,47977.57,10738.87,4.2,2045.11
2023,January,Books,North,244,16036.7,4168.83,1.1,3871.99
2021,August,Electronics,West,466,38427.93,10974.17,3.4,1907.4
2020,August,Beauty Products,South,494,73648.44,19624.23,1.9,4146.56
2020,February,Fashion,South,223,4271.65,481.58,4.1,3032.12
2024,September,Home Decor,West,321,52782.39,5645.48,2.2,1356.5
2021,February,Beauty Products,West,341,57154.0,7823.1,3.2,1643.0
